Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00071321191683138,-1.42644557277194E-09,0.194748532484259,0,0,0,165.378754896549,5.19900695904901,-2.63810509598704E-07,-0.00103069519824648,12.8692383637623,3.01074544522759E-08,15.8810925722298,0,0,0,0,0,0,package://YuTuURDF/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://YuTuURDF/meshes/base_link.STL,,Box1-1;Box2-1;lidar_camera-1/camLinklidar-1;leftsunboard-1;leftsunboard-2;bearings-2;bearings-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
camera_Link,0.00116205106935885,-0.000637806704274199,-0.0346889866480825,0,0,0,3.1539965029853,0.0244919073431695,0.000188391967068734,9.87614358049783E-07,0.00739705746144106,1.42536081881259E-05,0.0293966166562696,0,0,0,0,0,0,package://YuTuURDF/meshes/camera_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://YuTuURDF/meshes/camera_Link.STL,,lidar_camera-1/camera2-1,camera,camera_joint,camera_joint,fixed,0.365,0,0.84,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_Link,0.0113215162879861,0.000897637918713154,-5.46175478177702E-06,0,0,0,0.115580075166746,0.000443668821575738,1.70454612828059E-05,6.97380639795373E-08,0.000229903137291981,5.32526352270249E-09,0.000228534291396077,0,0,0,0,0,0,package://YuTuURDF/meshes/lidar_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://YuTuURDF/meshes/lidar_Link.STL,,lidar_camera-1/lidar2-1,lidar,lidar_joint,lidar_joint,fixed,0.393474958757372,0.00225655709560415,0.67,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_up_Link,-0.133682843719937,0.0577612791933153,-0.187149802845539,0,0,0,0.977157424948314,0.00268978246384689,-7.05662749970002E-07,-0.00037200145756455,0.0169407030683164,5.32530155029341E-06,0.0148890084379899,0,0,0,0,0,0,package://YuTuURDF/meshes/right_up_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://YuTuURDF/meshes/right_up_Link.STL,,Bar 1-2;motor-2-2;Bar Link-4,right_up,right_up_joint,right_up_joint,continuous,-0.1,-0.335,0.13,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
right_down_Link,0.0589056693041921,0.0411549760280981,-0.0773029247285448,0,0,0,1.35149153544103,0.00205649621796634,-1.34648561119581E-06,-0.001980615647894,0.0101031814166522,5.36273615245661E-06,0.00907589706967638,0,0,0,0,0,0,package://YuTuURDF/meshes/right_down_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://YuTuURDF/meshes/right_down_Link.STL,,motor-1-4;Bar 2-2;motor-1-5;Bar Link-5,right_down,right_down_joint,right_down_joint,continuous,0.204860795680375,-0.0375,-0.167266400896987,0,0,0,right_up_Link,0,-1,0,,,,,,,,,,,,
right_front_wheel_Link,4.64284670953496E-06,0.00942941401983621,-1.43666265051134E-07,0,0,0,1.17345377848056,0.00840548058918848,1.89174517411822E-06,1.17966662648947E-08,0.0129971850007653,-3.10884996692571E-08,0.00840556176326334,0,0,0,0,0,0,package://YuTuURDF/meshes/right_front_wheel_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://YuTuURDF/meshes/right_front_wheel_Link.STL,,wheel (1)-4;motorshaft-1-4,right_front_wheel,right_front_wheel_joint,right_front_wheel_joint,continuous,0.233742552900437,-0.110999988442163,-0.104197252309067,0,0,0,right_down_Link,-0.000412206025122928,-0.999999915015907,0,,,,,,,,,,,,
right_middle_wheel_Link,6.53594576349725E-07,0.00942941515421114,-4.71784419892041E-07,0,0,0,1.17345375791492,0.00840550186325641,-1.37181018108473E-10,3.82031935440113E-08,0.0129971857076584,-2.71638821395339E-09,0.00840553957033001,0,0,0,0,0,0,package://YuTuURDF/meshes/right_middle_wheel_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://YuTuURDF/meshes/right_middle_wheel_Link.STL,,wheel (1)-2;motorshaft-1-5,right_middle_wheel,right_middle_wheel_joint,right_middle_wheel_joint,continuous,-0.112832029094528,-0.150999999999999,-0.0979976264578054,0,0,0,right_down_Link,0,-1,0,,,,,,,,,,,,
right_rear_wheel_Link,4.24657688493899E-05,0.00913638080449108,1.25729732489144E-06,0,0,0,1.16998968715193,0.00839712148060717,2.12442196231524E-05,-2.75477006440965E-08,0.0129970395829342,2.83185117280476E-07,0.0083969605315725,0,0,0,0,0,0,package://YuTuURDF/meshes/right_rear_wheel_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://YuTuURDF/meshes/right_rear_wheel_Link.STL,,wheel (1)-1;motorshaft-2-2,right_rear_wheel,right_rear_wheel_joint,right_rear_wheel_joint,continuous,-0.258763588958021,-0.0994985385190876,-0.273496497984988,0,0,0,right_up_Link,-0.00461860727292075,-0.999989332256122,-6.19742937806606E-05,,,,,,,,,,,,
left_up_Link,-0.137454925023346,-0.0527605358332723,-0.184523796804967,0,0,0,0.977157257339794,0.00267995590511413,-7.14355042850304E-07,-0.000135453356567795,0.0169406951926897,-5.34805295074904E-06,0.0148988393864407,0,0,0,0,0,0,package://YuTuURDF/meshes/left_up_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://YuTuURDF/meshes/left_up_Link.STL,,Bar 1-1;motor-2-1;Bar Link-2,left_up,left_up_joint,left_up_joint,continuous,-0.1,0.33,0.13,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_down_Link,0.0602474623708353,-0.0411474122848515,-0.0759036611264567,0,0,0,1.35149148482124,0.00215405410618268,6.19228600289598E-07,-0.00214914411877823,0.0101031625149077,-6.76706335895392E-06,0.00897835931140362,0,0,0,0,0,0,package://YuTuURDF/meshes/left_down_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://YuTuURDF/meshes/left_down_Link.STL,,Bar 2-1;motor-1-1;motor-1-2;Bar Link-1,left_down,left_down_joint,left_down_joint,continuous,0.201581852933273,0.0425,-0.17120382894029,0,0,0,left_up_Link,0,-1,0,,,,,,,,,,,,
